comment,lang,label,notes
hey karl.... you are taking a whole lot of efforts to make us see this.... actually it was a india before.... partition made a lot of beautiful land undiscoverable for us... but it is gods grace that you are roaming through those.... i wish if i could have come there without any disputes in both countries.... i am also a biker and love to take my bike all over the world.... all the best for your all future riding adventures.... may god bless you....,english,,
this is from which month?,english,,
he crosses into pakistan and takes the khorkurum sp? highway from. islamabad to gilgit. hes a new zealander who married a harayani woman. motorcycle trip,english,,
"the vlog was very absorbing karlrock. the wisest decision you ever made was to marry a haryanavi wife. they are very caring, beautiful and loyal.",english,,
naran route is much better and shortcut other route is disrupted and remains blocked in day due to dam construction,english,,
"bikes in pakistans ,,,we used these types in 1970",english,,
"wenn man pakistan kennenlernen will, sind karl s videos das mittel der wahl, durch seine guten verständigungsmöglichkeiten schafft er ein spontanes vertrauen zu den leuten vor ort. allerdings ginge mir, gesetzt ich wäre ein local dieser komische typ, der da dauernd in sein box spricht ein wenig auf den keks. aber sobald dann ein gespräch zustande kommt, wird der einnehmende charme von karl alles glatt bügeln.",english,,
camera lens and drone please,english,,
"just mindblowing video, curious to know who shoot your couple videos?",english,,
wow such romantic shots and the girl is married engaged apparently. boy her guy would be next level trusting and hope he is not disappointed,english,,
"haha, i am a filipino but i also wonder why i love india.",english,,
"then how politicians raise issues to win election with false promise in my country india how military dictate in case of pakistan btw i love united south asia from afghanistan to mayanmar , from nepal bhutan to sl were one , were united the day of judgement is near for our british cultured politicians...",english,,
love from kashmir imran vlogs19,english,,
"shot,, its like a short film",english,,
i find myself escaping into a world where knowledge and free experience abound in a safe valuable environment. thank you karl rock.,english,,
excellent words from the young man at around 21 minutes. there are good and bad people everywhere. dont let the propaganda divide us. love to you all.,english,,
zalzala means earth quake,english,,
background music name please??????????,english,,
karl is the only person on earth that doesnt understand about carburator altitude jetting the bike did not have a problem it needed a 2 minute fix of needle jet clip height from center slot to 4 or 5 slot his air fuel ratio is off,english,,
karl rock can you meet shoaib chaudhari... at lahore,english,,
more like wedding photoshoot..it could be much better...,english,,
"the jewel of the northern pakistan, abbottabad, is the most peaceful and scenic city of pakistan with a population of two million individuals. known as the city of schools, it is home to the best private and government schools in pakistan. with a literacy rate of over 80 percent, abbottabad is also a seat of higher education with over 10 universities and medical colleges. abbottabad also hosts pakistan military academy, which is premier academy for the training of pakistan army officers.",english,,
1.09.07 the same our country though stable govt.....but rich becoming richer...poor becoming pooerer,english,,
so sweet people are. weve given too much power to terrorist and haters.,english,,
"i am indian. hindu.. but, i would really really want to travel pakistan on my bike , meet n greet pakistan people amd experience the beautiful part of pakistan. lov from india.",english,,
rajput sticker on car ?,english,,
"i have been following you from class 7 its been 7 years and you dont know bhaiya how much you inspires me, i have learned a lot about filmmaking editing and i just cant describe how much i wait for your videos you inspires me to push my limits, thank you so much bhaiya",english,,
qaiserjanjua6976 unblock,english,,
"wonderful video of gilgits journey, thanks bro.",english,,
you did not share anything with the needy dude... and you even say you have knowledge of sikhism and visited their temples...i understand that the people in shops did not take your money...but what about those kids you met on the way? they were needy...where was your heart?,english,,
undivided india balakot royal enfield hes one of us!,english,,
today i am watching your vlog is best..because this is my first appearance in your channel...nice vlog,english,,
if any foreigner want to increase the subscribers on youtube then they should learn indian languages.,english,,
sorry if i was not able to watch your video this time.. but im always praying for you sir. god bless!!,english,,
wow,english,,
"ive been following you karl since early stages and this video is overwhelming one of the best ever. thanks man!! your humbleness and respect for pakistaníes and indians is admirable and teach the world that we can get together. all the greetings man from tokyo, japan!!! love, bro!!",english,,
"hi karl, i am too from haryana. your documentary gave a beautiful insights of the region, people and beauty. and your way of picturisation is just great....congrats for that....i just want to know which camera have u used to shoot this documentary as the videos are very crisp and cinematic.. i would be very thankful if you respond...thanks ... keep vlogging",english,,
make a video on this vlog showing part by part clip explaining the camera lenses i just wanted to know each clip what lens u are used?,english,,
travel video or apne album,english,,
spot on!!,english,,
iam watching a movie,english,,
"on may 2, 2011, al qaeda leader osama bin laden was killed by us special forces during an early morning raid at a compound in abbottabad, pakistan. thats the place bru.",english,,
"most underrated travel vlogger ankit sir, your yellow jacket link please",english,,
whaaat !! a 2 hr video .. what a treat !!,english,,
"how did you managed to make that decision to rent 150cc city bike for this ride. switching from re himalayan 350 to that, just didnt feel right at the beginning in this video. i understand how exerting it was.",english,,
"feels so sad, this was all india once.",english,,
"fun fact, this hindutvadi extremist thinks we wont notice his hindutvadi language of undivided india.",english,,
vloglove life,english,,
no indians? sounds like heaven,english,,
ammazing,english,,
"ankit bro you are amazing your ideas, your style of making video is unbelievable man ,, i love it and fully enjoy it i will always follow you and take some interesting fact from u",english,,
"question is how the kids know about how to convert,and forced to convert other religion people into islam this is one of the reason why people hate pakistani",english,,
kalma padho musalman hojaooo isme bahat fyda he ! disgusting,english,,
watching your videos feel like goosebumps,english,,
what was that ?,english,,
that kid who did not even know you simply tried to convert you. those are future jihadis who will be infiltrating kashmir.,english,,
dsro k 7 aise nhi ghumna chahiye bhabhi bura man jayegi,english,,
superb ... it seems like a pre wedding shoot dont mind,english,,
brother great piece of creation....need to learn vlogging from u,english,,
indianapolis 500the biggest race in the world,english,,
bhaiya,english,,
nice hindi bro,english,,
im kashmiri but indeed pahalgam is beautiful than other famous places,english,,
rajput sign on that car window,english,,
is this old video or you shooted this year nov 2024,english,,
"love your video! wonderful, so informative, so genuine! thank you.",english,,
hello sir,english,,
part 2,english,,
superb,english,,
who noticed rajput?,english,,
watching this from new jersey pretty impressive,english,,
nice bro,english,,
seen the full video without skipping a single minute. well done brother. loved it.,english,,
"reliable honda !! 150cc, probably carburetor based done great in low oxygen. spark plug issue is due to adulterated fuel and poor maintenance.",english,,
brain washed kids .,english,,
irony is its india only but indians cant go. bro you should change the template and write if it was still in indian administration it was more beautiful and well taken care off.,english,,
clutch plates of bike are gone,english,,
dont worry after 2030 we can go there after all it is ours.....,english,,
so we are watching a snow movie,english,,
thank you for taking me to places i dream of going !! especially on a motorcycle,english,,
i agree with sister conveying why boarders when we have common things in our lifes.,english,,
you have a clutch problem!,english,,
"if there is not hatredness there would be no war and if there is no war there would be no weapons, ultimately the big money minting mncs will be destroyed, politicians wont get vote, government will become less relevant. war, hatredness is like an illusion. in the the name of nationalism, patriotism they are controlling us, the common public, peoples like you and me.",english,,
"hi bro looks great, could you help me out",english,,
india never strike on blakot thats lie but pakistan have a evidence to catch a pilot and crash two indian army aircraft you can see of evidence tea was fantastic,english,,
she accepted her forfathers were converted to islam by edge of swords why hindu muslim hate each other simple answer muslims want to convert every human in islam we hindus dont like n dont want to force our beliefs to anyone,english,,
does your phone not overheat under direct sunlight for so long,english,,
karl khan. you look so handsome as karl khan. you are so white and with that black costume you look like pathan,english,,
many indians visited these places before,english,,
"you should have gone to shogran as well, one the way to naran",english,,
they dont allow it for one single reason. they dont want it to explode in pakistan.,english,,
yeh log hmari hi vellay ka vedio bna kr hum hi ko dekha rahay hai kashmiri attendance,english,,
i also wanna visit pakistan hopefully one day ill have the opportunity,english,,
great,english,,
"that was so sweetan example of pakistani hospitality and friendliness, whatever you choose to call it. love from bangladesh.",english,,
im big fan bhaiya,english,,
pakistanis not taking money from foreign guests is something ive heard from many people. i think thats very beautiful.,english,,
i am going to take it really slow to wherere we go . of course its a 150cc,english,,
gulabi dil,english,,
thats literally everyday life in chennai as you probably know,english,,
so called indian strike in balakot,english,,
it is true that all pakistanis were hindus at one point. there is no reason for the pakistanis to use islam to hate other religions. a true human being looks beyond the religion.,english,,
how is babusar top a disputed territory? its not in kashmir. its in the kp province of pakistan instead. i appreciate your vlogs but please dont spread wrong info. peace,english,,
in 35 yr pakistan kasmir would be in india india would have kasmir and pakistan will barke apart into pieces in 35 yr,english,,
very nice,english,,
nariya ki princess lg rhi h ap,english,,
gun market conveniently located within transport hub and school !!!,english,,
great content first btw,english,,
i cant skip a second,english,,
"hi ankit, in which month, you made this vlog?",english,,
the place you see as heaven is my home.,english,,
she enjoyed with this guy and now she got married.,english,,
which year and which month is this video shot??,english,,
"at this part of karakoram highway between chillas and jaglot is like this because of land sliding, multiple times road was built but gets destroyed everytime, anyways now a new road is on the way right over the indus river by bridges so this problem will be resolved, anyways i too hate this part of highway",english,,
"its a shame that people just thro rubbish, lot of rubbish in a such a good place",english,,
at this guy was hearing all what you said i think he got triggered. xd,english,,
"karl, i always liked you but after seeing you indulging in indian politics on farm reforms, even after you being from free world supporting agents calling them self fake farmers. i got angry on your stupidity. i hope you realize your mistake in participating in stupid malpractice of agents. i forgive you, but i request you, without knowing the fact do not interfere in indian local and religious issues. we hindu have now had it far too long. i wish you pleasant stay in my country of birth.",english,,
update 1st group trip is full2nd7th feb. but since lot of people missed out in the first one so i am doing 2nd group trip on 10th15th feb. seats are available. do whatsapp 918956265314 to book now.,english,,
"nice video karl, really wish you millions of subscribers",english,,
you have done incredible moto vlogging and you have such amazing patience. hats off karl!! you really rocked!!,english,,
absolute cinema,english,,
"wonderful video. im not even at the first hour point but what i see in islamabad, abottabad and the north is wonderful landscapes, superb mountains, adorable people. too bad their police consider a foreigner is a danger but theres a good in every bad and this may keep the spirit and the beauty intact from foreign influence.",english,,
in pittsburgh we have the bizarre bazaar ...thats where the local homos offer their services to each other.,english,,
what a nice trip! thanks for given us such an unbelievable vlog!,english,,
it looked like you might have been put out of business until the scary looking guy saw your camera,english,,
"karl my friend you should have your political stance on kashmir dispute.. you are a free man and we dont mind even if your view is against pakistan view. because our stance is clear and we will never back off from it and time will prove our stance was right. so we dont judge people on their stances of disputed issues. we respect our guest.... remember that tea is fantastic. well i just getting a little sarcastic. tell our indian sister your wife, we respect her as well.",english,,
ankit bhai isnt anju married to someone else ?,english,,
jan aur feb mai asli mzza aata hai 100 times than dec,english,,
polichu mone,english,,
"islamabads beauty is truly stunning, and exploring it on a honda cb150 f makes it even better. i used to own the same bike, its smooth, reliable, and perfect for such scenic rides.",english,,
"me, a pakistani, in rawaloindi, eating rice while watching him say this",english,,
its indian territory,english,,
you are the best,english,,
better go to saif ul muluk with jeegbike was not mountains,english,,
thanks pakistan,english,,
i am from kashmir.. k people can comment down,english,,
loved it cant believe i watched a youtube video of 2hr in one go.,english,,
"i never went to kashmir but when ever i saw your video,,, iam levied in kashmir right now,,,i feel like this ankit so much of thanks to you with love from tamilnadu",english,,
reality that millions of hindus where forced to convert their religion to islam thats the reality of peacefull community islam,english,,
just pakistani things,english,,
your whole pakistan segment after lahore had such a.. rural kind of a feeling. it makes me feel like ive went back in time.,english,,
ps apologies i should have addressed you as jijaji and not karl ..my mistake,english,,
your videography editing skills absolutely amazing ....and fabulous songs like more spicy added in food,english,,
"if there is any recent dislike of indians in the world, its because of indias overwhelming support for israel.",english,,
pakistani people are really so heartwarming in contrast to what is shown in the movies,english,,
"hey bro, i was just scrolling through youtube and came across your channel headline... believe me, your captivating picture angles of kashmirs beauty have literally taken my soul away. ive seen many youtubers who have captured kashmir before, but you have an aura, a class, and you come across as so grounded and humble.. ive subscribed to your channel, and youre now at the top of my list of favorite youtubers. youve truly won my heart, man. kashmir has always been close to my heart, holding my childhood memories. much love from a kashmiri guy who now wanders and lives in the middle east..",english,,
"being an indian biker whos been to turtuk, which is the last indian village where pakistan houses were clearly visible i was scared just looking at their houses for all the hatred ive been hearing from my ancestors and on the news. now i feel like visiting pakistan just to experience their hospitality. my family is still against it but some day i wish to try this. love from india wish to see some pakistani brothers !",english,,
"that mosque boy is so irritating. as a muslim i am telling you should not give money to them, even islam doesnt allow this , you cant build a mosque by begging.",english,,
they dont have any mountain bikes ehhh...??,english,,
i really love your creative shots,english,,
stunning,english,,
"im going to northern pakistan in a week and i cant wait to experience it, as a north american, how concerned should i be about food safety and illness? any advice would be appriciated.",english,,
i and my whole upcoming generation will ask this question the reason of partition,english,,
all round the world pakistan is the dangers and back world country,english,,
boy you take chances. especially dude that went to bin laden compound,english,,
"it belongs to india , indian territory",english,,
"great movie, sad to see , even small kids are turned into radical islamists. plant seed of hatered against non muslims and carry out all kind of terrorisn in name of kuran. btw love froum u.p. karl, jai hind, jai bharat , ram ram",english,,
long live seperate south dravida nadu and china....... stop patronizing north indians for subscribers,english,,
how to connect you for the next trip to kashmir,english,,
very very nice aap ki boli bahut hi aashi hai mera name kabul singh germany se hun,hinglish,,
gazab hai bhai aappke videos,hinglish,,
"karl bhai, zindabad",hinglish,,
aaj mera pakistaan ko dekhne ka nazariya badal gya,hinglish,,
border ka gate tak nahi khulta bhai inn logo se,hinglish,,
make my trip ke owner ek no. ka idiot hai...i think he is having connection with terrorist.,hinglish,,
missing kar rha hai chuchu,hinglish,,
bhai ka to moye moye ho gya...,hinglish,,
"foriegn bike ho or india ka number plate,pakistan ja sataha kya",hinglish,,
aree yaar chup,hinglish,,
karls meri biwi haryanvi hai is more like tu nahi jaanta mera baap kaun hai,hinglish,,
bro tumne haryana me shadi kyun ki ?,hinglish,,
who she is girl ankit bhai,hinglish,,
bhai songs ka naam batao na aakhiri wala tu rehta mere pass,hinglish,,
bhai kashmir se jyada khoobsurat apki mitr hai,hinglish,,
wow bhai kya videography hai soon you will director in web series,hinglish,,
bhai aye din naya prewedding shoot kr leta hai,hinglish,,
itni barf mein bhi humari jaal kyun rahi hai,hinglish,,
ye ladki ki ankhon mein hawas bhari hai,hinglish,,
bhai aapki bhi gf hai,hinglish,,
"bhai 4ra pe fast withdrawals aur easy deposits ki wajah se maza aata hai khelne me, no tension",hinglish,,
"mujhe 4ra ke recalculations feature bohot pasand hai, kabhi bhi galti hoti hai toh turant correct ho jata hai",hinglish,,
"yaar 4rabet pe withdrawals itne fast hain, kal withdraw kiya aur aaj paisa aa gaya",hinglish,,
kb ki video shooting thi ye,hinglish,,
"laalach buri baat hai, par kya karein? itni achi video banate hain aap, mera kya kasoor?ab bari surround sound ki hai, yehi laalach hai. kya har laalach buri baat hai?",hinglish,,
bhai your girlfriend,hinglish,,
"bhai kya must shoot kiya hai ,, fan hogaya boss awsome!!!",hinglish,,
bhai kashmir dikhaiye aap dono ki chemistry baad me dikhana,hinglish,,
duniya ki jannat,hinglish,,
"gajab launda hai be, har dusre video mein nayi ladki ke saath aa jaata hai",hinglish,,
bhai dil khush kardiya,hinglish,,
anju kurian aapki friend hai ky ?,hinglish,,
bhai ne to jannat ke darshan kra diye,hinglish,,
bhai ye ankit bhai ko pyaar tow nahi ho gaya abhi vlog dekhr aha hun tv pe alag si feeling aa rahi hai,hinglish,,
propose kar de bhai itna sab dikhane ke baad,hinglish,,
"bachii,bachi hai yr majay.....",hinglish,,
bhai ne kya editing ki hai,hinglish,,
last song kaunsaa hai,hinglish,,
bhai background music ki volume thodi kam rakha karo,hinglish,,
itna overacting q kar ra hai,hinglish,,
proud of kashmiri welcome bhai,hinglish,,
bhai tumare videos shi me bahut quality ke hote h,hinglish,,
bhai jugad,hinglish,,
bhai ne vlog ke sath pre wedding bhi karli,hinglish,,
bhai hindi nhi ati kyakhai english bole ja rha hai,hinglish,,
ye hota hai asli travel vlog,hinglish,,
bhai hindi mein bhi bola kro,hinglish,,
batanewale ko accha pakde ho,hinglish,,
agli saal ka hai ya,hinglish,,
konse month ka h ya,hinglish,,
bhai 4 week phele inki engagement nhi huyi thi kya,hinglish,,
wowww dream yaar,hinglish,,
background music khud se create karte hain ki kharida hai,hinglish,,
hindi bhi bol liya karo jyada angrej mat bano jyadatar log india se hi dekhte hai apki video na ki us uk se,hinglish,,
ye wali video ke end me jo background music baj rha hai uska name kya hai please bata do,hinglish,,
we want a love story bhai,hinglish,,
ankit bhai super video,hinglish,,
ankit bhai! take love from bangladesh,hinglish,,
but anju kurian is married to someone else right? fir ye kyun ghum ra hai. ye vlog hai ya music video bnaya h bhai ne,hinglish,,
bhai aap mere,hinglish,,
hi! im asmitakashmir mein sab jagah par hi drone urane ka permission hain kya ??love from west bengal,hinglish,,
nice view bhai,hinglish,,
अवशवसनय जवन,hindi,,
हमर एक bsf क जवन अकल ह गट खल द रह दसर पकसतन क जवन क द बजरग क गट खलन म मदद करन आ रह ह,hindi,,
भई हद बलन म शरम आत ह कय,hindi,,
आप सभ क लय मसयर vlogs क सरज आ चक ह अगर पसद आय त सपपरट जरर कर,hindi,,
इसक रयल वइस एकदम नमन जस ह बर मन सन ह,hindi,,
"हमचल उततरखड,kashmir etc....जशमठ हरषल ........पथरगड क दरम वयस चदस vally......",hindi,,
"अकत भई, फरवर म यतर क यजन बन रह ह त उस समय दध पतर म ऐस मसम हग कय?",hindi,,
भई य वल दसत मझ द द.....,hindi,,
অসধরণ সনদর ভব ফটয তল হযছ এত সনদর হযছ বলগ,indic-script,,
അഞച കരയൻ,indic-script,,
পরম পড গলম এমন সনমটক ভলগ দখ one day me sra are doing this dream vlog,indic-script,,
മലയളകൾ ആരല ഇവട ഇണട,indic-script,,
