comment,lang,label,notes,comment_clean
"hi ankit, in which month, you made this vlog?",english,,,hi ankit month made vlog
the place you see as heaven is my home.,english,,,place see heaven home
she enjoyed with this guy and now she got married.,english,,,enjoyed guy got married
which year and which month is this video shot??,english,,,year month video shot
"at this part of karakoram highway between chillas and jaglot is like this because of land sliding, multiple times road was built but gets destroyed everytime, anyways now a new road is on the way right over the indus river by bridges so this problem will be resolved, anyways i too hate this part of highway",english,,,part karakoram highway chillas jaglot like land sliding multiple times road built gets destroyed everytime anyways new road way right indus river bridges problem resolved anyways hate part highway
"its a shame that people just thro rubbish, lot of rubbish in a such a good place",english,,,shame people thro rubbish lot rubbish good place
at this guy was hearing all what you said i think he got triggered. xd,english,,,guy hearing said think got triggered xd
"karl, i always liked you but after seeing you indulging in indian politics on farm reforms, even after you being from free world supporting agents calling them self fake farmers. i got angry on your stupidity. i hope you realize your mistake in participating in stupid malpractice of agents. i forgive you, but i request you, without knowing the fact do not interfere in indian local and religious issues. we hindu have now had it far too long. i wish you pleasant stay in my country of birth.",english,,,karl always liked seeing indulging indian politics farm reforms even free world supporting agents calling self fake farmers got angry stupidity hope realize mistake participating stupid malpractice agents forgive request without knowing fact interfere indian local religious issues hindu far long wish pleasant stay country birth
update 1st group trip is full2nd7th feb. but since lot of people missed out in the first one so i am doing 2nd group trip on 10th15th feb. seats are available. do whatsapp 918956265314 to book now.,english,,,update 1st group trip full2nd7th feb since lot people missed first one 2nd group trip 10th15th feb seats available whatsapp 918956265314 book
"nice video karl, really wish you millions of subscribers",english,,,nice video karl really wish millions subscribers
you have done incredible moto vlogging and you have such amazing patience. hats off karl!! you really rocked!!,english,,,done incredible moto vlogging amazing patience hats karl really rocked
absolute cinema,english,,,absolute cinema
"wonderful video. im not even at the first hour point but what i see in islamabad, abottabad and the north is wonderful landscapes, superb mountains, adorable people. too bad their police consider a foreigner is a danger but theres a good in every bad and this may keep the spirit and the beauty intact from foreign influence.",english,,,wonderful video even first hour point see islamabad abottabad north wonderful landscapes superb mountains adorable people bad police consider foreigner danger theres good every bad may keep spirit beauty intact foreign influence
in pittsburgh we have the bizarre bazaar ...thats where the local homos offer their services to each other.,english,,,pittsburgh bizarre bazaar local homos offer services
what a nice trip! thanks for given us such an unbelievable vlog!,english,,,nice trip thanks given us unbelievable vlog
it looked like you might have been put out of business until the scary looking guy saw your camera,english,,,looked like might put business scary looking guy saw camera
"karl my friend you should have your political stance on kashmir dispute.. you are a free man and we dont mind even if your view is against pakistan view. because our stance is clear and we will never back off from it and time will prove our stance was right. so we dont judge people on their stances of disputed issues. we respect our guest.... remember that tea is fantastic. well i just getting a little sarcastic. tell our indian sister your wife, we respect her as well.",english,,,karl friend political stance kashmir dispute free man mind even view pakistan view stance clear never back time prove stance right judge people stances disputed issues respect guest remember tea fantastic well getting little sarcastic tell indian sister wife respect well
ankit bhai isnt anju married to someone else ?,english,,,ankit bhai anju married someone else
jan aur feb mai asli mzza aata hai 100 times than dec,english,,,jan aur feb mai asli mzza aata hai 100 times dec
polichu mone,english,,,polichu mone
"islamabads beauty is truly stunning, and exploring it on a honda cb150 f makes it even better. i used to own the same bike, its smooth, reliable, and perfect for such scenic rides.",english,,,islamabads beauty truly stunning exploring honda cb150 makes even better used bike smooth reliable perfect scenic rides
"me, a pakistani, in rawaloindi, eating rice while watching him say this",english,,,pakistani rawaloindi eating rice watching say
its indian territory,english,,,indian territory
you are the best,english,,,best
better go to saif ul muluk with jeegbike was not mountains,english,,,better go saif ul muluk jeegbike mountains
thanks pakistan,english,,,thanks pakistan
i am from kashmir.. k people can comment down,english,,,kashmir people comment
loved it cant believe i watched a youtube video of 2hr in one go.,english,,,loved believe watched youtube video 2hr one go
"i never went to kashmir but when ever i saw your video,,, iam levied in kashmir right now,,,i feel like this ankit so much of thanks to you with love from tamilnadu",english,,,never went kashmir ever saw video iam levied kashmir right feel like ankit much thanks love tamilnadu
reality that millions of hindus where forced to convert their religion to islam thats the reality of peacefull community islam,english,,,reality millions hindus forced convert religion islam reality peacefull community islam
just pakistani things,english,,,pakistani things
your whole pakistan segment after lahore had such a.. rural kind of a feeling. it makes me feel like ive went back in time.,english,,,whole pakistan segment lahore rural kind feeling makes feel like went back time
ps apologies i should have addressed you as jijaji and not karl ..my mistake,english,,,ps apologies addressed jijaji karl mistake
your videography editing skills absolutely amazing ....and fabulous songs like more spicy added in food,english,,,videography editing skills absolutely amazing fabulous songs like spicy added food
"if there is any recent dislike of indians in the world, its because of indias overwhelming support for israel.",english,,,recent dislike indians world indias overwhelming support israel
pakistani people are really so heartwarming in contrast to what is shown in the movies,english,,,pakistani people really heartwarming contrast shown movies
"hey bro, i was just scrolling through youtube and came across your channel headline... believe me, your captivating picture angles of kashmirs beauty have literally taken my soul away. ive seen many youtubers who have captured kashmir before, but you have an aura, a class, and you come across as so grounded and humble.. ive subscribed to your channel, and youre now at the top of my list of favorite youtubers. youve truly won my heart, man. kashmir has always been close to my heart, holding my childhood memories. much love from a kashmiri guy who now wanders and lives in the middle east..",english,,,hey bro scrolling youtube came across channel headline believe captivating picture angles kashmirs beauty literally taken soul away seen many youtubers captured kashmir aura class come across grounded humble subscribed channel top list favorite youtubers youve truly heart man kashmir always close heart holding childhood memories much love kashmiri guy wanders lives middle east
"being an indian biker whos been to turtuk, which is the last indian village where pakistan houses were clearly visible i was scared just looking at their houses for all the hatred ive been hearing from my ancestors and on the news. now i feel like visiting pakistan just to experience their hospitality. my family is still against it but some day i wish to try this. love from india wish to see some pakistani brothers !",english,,,indian biker whos turtuk last indian village pakistan houses clearly visible scared looking houses hatred hearing ancestors news feel like visiting pakistan experience hospitality family still day wish try love india wish see pakistani brothers
"that mosque boy is so irritating. as a muslim i am telling you should not give money to them, even islam doesnt allow this , you cant build a mosque by begging.",english,,,mosque boy irritating muslim telling give money even islam allow build mosque begging
they dont have any mountain bikes ehhh...??,english,,,mountain bikes ehhh
i really love your creative shots,english,,,really love creative shots
stunning,english,,,stunning
"im going to northern pakistan in a week and i cant wait to experience it, as a north american, how concerned should i be about food safety and illness? any advice would be appriciated.",english,,,going northern pakistan week wait experience north american concerned food safety illness advice would appriciated
i and my whole upcoming generation will ask this question the reason of partition,english,,,whole upcoming generation ask question reason partition
all round the world pakistan is the dangers and back world country,english,,,round world pakistan dangers back world country
boy you take chances. especially dude that went to bin laden compound,english,,,boy take chances especially dude went bin laden compound
"it belongs to india , indian territory",english,,,belongs india indian territory
"great movie, sad to see , even small kids are turned into radical islamists. plant seed of hatered against non muslims and carry out all kind of terrorisn in name of kuran. btw love froum u.p. karl, jai hind, jai bharat , ram ram",english,,,great movie sad see even small kids turned radical islamists plant seed hatered non muslims carry kind terrorisn name kuran btw love froum karl jai hind jai bharat ram ram
long live seperate south dravida nadu and china....... stop patronizing north indians for subscribers,english,,,long live seperate south dravida nadu china stop patronizing north indians subscribers
how to connect you for the next trip to kashmir,english,,,connect next trip kashmir
very very nice aap ki boli bahut hi aashi hai mera name kabul singh germany se hun,hinglish,,,nice aap ki boli bahut hi aashi hai mera name kabul singh germany se hun
gazab hai bhai aappke videos,hinglish,,,gazab hai bhai aappke videos
"karl bhai, zindabad",hinglish,,,karl bhai zindabad
aaj mera pakistaan ko dekhne ka nazariya badal gya,hinglish,,,aaj mera pakistaan ko dekhne ka nazariya badal gya
border ka gate tak nahi khulta bhai inn logo se,hinglish,,,border ka gate tak nahi khulta bhai inn logo se
make my trip ke owner ek no. ka idiot hai...i think he is having connection with terrorist.,hinglish,,,make trip ke owner ek ka idiot hai think connection terrorist
missing kar rha hai chuchu,hinglish,,,missing kar rha hai chuchu
bhai ka to moye moye ho gya...,hinglish,,,bhai ka moye moye ho gya
"foriegn bike ho or india ka number plate,pakistan ja sataha kya",hinglish,,,foriegn bike ho india ka number plate pakistan ja sataha kya
aree yaar chup,hinglish,,,aree yaar chup
karls meri biwi haryanvi hai is more like tu nahi jaanta mera baap kaun hai,hinglish,,,karls meri biwi haryanvi hai like tu nahi jaanta mera baap kaun hai
bro tumne haryana me shadi kyun ki ?,hinglish,,,bro tumne haryana shadi kyun ki
who she is girl ankit bhai,hinglish,,,girl ankit bhai
bhai songs ka naam batao na aakhiri wala tu rehta mere pass,hinglish,,,bhai songs ka naam batao na aakhiri wala tu rehta mere pass
bhai kashmir se jyada khoobsurat apki mitr hai,hinglish,,,bhai kashmir se jyada khoobsurat apki mitr hai
wow bhai kya videography hai soon you will director in web series,hinglish,,,wow bhai kya videography hai soon director web series
bhai aye din naya prewedding shoot kr leta hai,hinglish,,,bhai aye din naya prewedding shoot kr leta hai
itni barf mein bhi humari jaal kyun rahi hai,hinglish,,,itni barf mein bhi humari jaal kyun rahi hai
ye ladki ki ankhon mein hawas bhari hai,hinglish,,,ye ladki ki ankhon mein hawas bhari hai
bhai aapki bhi gf hai,hinglish,,,bhai aapki bhi gf hai
"bhai 4ra pe fast withdrawals aur easy deposits ki wajah se maza aata hai khelne me, no tension",hinglish,,,bhai 4ra pe fast withdrawals aur easy deposits ki wajah se maza aata hai khelne tension
"mujhe 4ra ke recalculations feature bohot pasand hai, kabhi bhi galti hoti hai toh turant correct ho jata hai",hinglish,,,mujhe 4ra ke recalculations feature bohot pasand hai kabhi bhi galti hoti hai toh turant correct ho jata hai
"yaar 4rabet pe withdrawals itne fast hain, kal withdraw kiya aur aaj paisa aa gaya",hinglish,,,yaar 4rabet pe withdrawals itne fast hain kal withdraw kiya aur aaj paisa aa gaya
kb ki video shooting thi ye,hinglish,,,kb ki video shooting thi ye
"laalach buri baat hai, par kya karein? itni achi video banate hain aap, mera kya kasoor?ab bari surround sound ki hai, yehi laalach hai. kya har laalach buri baat hai?",hinglish,,,laalach buri baat hai par kya karein itni achi video banate hain aap mera kya kasoor ab bari surround sound ki hai yehi laalach hai kya har laalach buri baat hai
bhai your girlfriend,hinglish,,,bhai girlfriend
